Title,Platform,Genre,ReleaseYear,Rating,Revenue,UnitsSold
IndieQuest Game 1,Switch,Action,2023,7.1,488106,74158
IndieQuest Game 2,Switch,Strategy,2018,8.4,86653,16622
IndieQuest Game 3,Switch,RPG,2019,8.0,75649,295254
IndieQuest Game 4,PC,Strategy,2021,6.9,1255779,146852
IndieQuest Game 5,Switch,RPG,2023,7.7,602738,82516
IndieQuest Game 6,PC,Puzzle,2018,6.4,222828,189208
IndieQuest Game 7,PlayStation,Strategy,2020,9.2,1550358,241870
IndieQuest Game 8,Mobile,Action,2021,6.3,634839,190600
IndieQuest Game 9,Mobile,RPG,2023,6.3,1406769,120484
IndieQuest Game 10,PlayStation,Action,2024,6.9,231815,200295
IndieQuest Game 11,PlayStation,Platformer,2023,9.3,361110,195081
IndieQuest Game 12,PlayStation,RPG,2023,7.1,1984307,38435
IndieQuest Game 13,Mobile,RPG,2022,8.9,362679,243357
IndieQuest Game 14,Xbox,Puzzle,2023,8.8,480566,171017
IndieQuest Game 15,Switch,RPG,2024,6.1,681552,211325
IndieQuest Game 16,PlayStation,Action,2019,9.7,1209462,165981
IndieQuest Game 17,PC,Platformer,2021,9.5,1368158,241570
IndieQuest Game 18,PC,Puzzle,2019,7.0,1197274,283579
IndieQuest Game 19,PlayStation,Strategy,2021,9.6,857603,190790
IndieQuest Game 20,PC,RPG,2022,8.0,1604990,25702
IndieQuest Game 21,Switch,RPG,2023,6.6,1447072,222333
IndieQuest Game 22,Mobile,Action,2021,7.5,1001571,278408
IndieQuest Game 23,PlayStation,Strategy,2024,9.8,1446657,61058
IndieQuest Game 24,Mobile,Puzzle,2024,8.6,253941,154878
IndieQuest Game 25,Xbox,RPG,2021,6.0,1534336,139091
IndieQuest Game 26,Mobile,RPG,2022,9.7,1845609,157471
IndieQuest Game 27,Mobile,Strategy,2019,6.6,1619101,85698
IndieQuest Game 28,Mobile,Strategy,2018,8.4,1044680,11211
IndieQuest Game 29,Switch,Puzzle,2024,9.2,522167,31369
IndieQuest Game 30,PC,Strategy,2018,6.3,1039195,37287
IndieQuest Game 31,Mobile,RPG,2019,8.6,1173021,87574
IndieQuest Game 32,PlayStation,Strategy,2024,8.4,464173,283746
IndieQuest Game 33,PC,Puzzle,2021,10.0,1382893,196779
IndieQuest Game 34,Xbox,Strategy,2021,6.5,491224,34568
IndieQuest Game 35,PlayStation,Action,2022,8.2,1254048,116457
IndieQuest Game 36,Switch,Action,2023,8.5,500125,36337
IndieQuest Game 37,Switch,Puzzle,2018,8.1,604009,255496
IndieQuest Game 38,PC,Strategy,2019,8.9,1870491,248815
IndieQuest Game 39,PC,Platformer,2024,7.6,217815,51819
IndieQuest Game 40,Xbox,Puzzle,2021,7.6,1831596,29401
