Title,Platform,Genre,ReleaseYear,Rating,Revenue,UnitsSold
IndieQuest Game 31,Mobile,RPG,2019,8.6,1173021,87574
IndieQuest Game 32,PlayStation,Strategy,2024,8.4,464173,283746
IndieQuest Game 33,PC,Puzzle,2021,10.0,1382893,196779
IndieQuest Game 34,Xbox,Strategy,2021,6.5,491224,34568
IndieQuest Game 35,PlayStation,Action,2022,8.2,1254048,116457
IndieQuest Game 36,Switch,Action,2023,8.5,500125,36337
IndieQuest Game 37,Switch,Puzzle,2018,8.1,604009,255496
IndieQuest Game 38,PC,Strategy,2019,8.9,1870491,248815
IndieQuest Game 39,PC,Platformer,2024,7.6,217815,51819
IndieQuest Game 40,Xbox,Puzzle,2021,7.6,1831596,29401
